"file","owner","kind"
"src/app/api/v1/client/commandes/route.ts","orders","Route Handler"
"src/app/api/v1/client/geo/geocode/route.ts","service-markets","Route Handler"
"src/app/api/v1/client/location/resolve/route.ts","clients","Route Handler"
"src/app/api/v1/client/notifications/route.ts","notifications","Route Handler"
"src/app/api/v1/client/push/expo/route.ts","notifications","Route Handler"
"src/app/api/v1/client/reservations/[id]/cancel/route.ts","residences","Route Handler"
"src/app/api/v1/client/reservations/[id]/payment/route.ts","residences","Route Handler"
"src/app/api/v1/client/reservations/[id]/route.ts","residences","Route Handler"
"src/app/api/v1/client/reservations/route.ts","residences","Route Handler"
"src/app/api/v1/client/restaurants/[slug]/menu/route.ts","menu","Route Handler"
"src/app/api/v1/client/restaurants/[slug]/route.ts","restaurants","Route Handler"
"src/app/api/v1/client/restaurants/http.ts","restaurants","support / autre"
"src/app/api/v1/client/restaurants/route.ts","restaurants","Route Handler"
"src/app/api/v1/client/restaurants/search/route.ts","restaurants","Route Handler"
"src/app/api/v1/livreur/auth/activation/route.ts","deliveries","Route Handler"
"src/app/api/v1/livreur/auth/login/route.ts","deliveries","Route Handler"
"src/app/api/v1/livreur/auth/logout/route.ts","deliveries","Route Handler"
"src/app/api/v1/livreur/auth/refresh/route.ts","deliveries","Route Handler"
"src/app/api/v1/livreur/disponibilite/route.ts","deliveries","Route Handler"
"src/app/api/v1/livreur/livraisons/[id]/depart/route.ts","deliveries","Route Handler"
"src/app/api/v1/livreur/livraisons/[id]/echec/route.ts","deliveries","Route Handler"
"src/app/api/v1/livreur/livraisons/[id]/remise/route.ts","deliveries","Route Handler"
"src/app/api/v1/livreur/livraisons/[id]/route.ts","deliveries","Route Handler"
"src/app/api/v1/livreur/livraisons/route.ts","deliveries","Route Handler"
"src/app/api/v1/livreur/me/route.ts","deliveries","Route Handler"
"src/app/api/v1/livreur/notifications/route.ts","deliveries","Route Handler"
"src/app/api/v1/livreur/offres/[id]/reponse/route.ts","deliveries","Route Handler"
"src/app/api/v1/livreur/offres/courante/route.ts","deliveries","Route Handler"
"src/app/api/v1/livreur/push/expo/route.ts","deliveries","Route Handler"
"src/app/api/v1/openapi.json/route.ts","infrastructure API","Route Handler"
"src/app/api/v1/public/discovery/events/route.ts","discovery","Route Handler"
"src/app/api/v1/public/discovery/open/route.ts","discovery","Route Handler"
"src/app/api/v1/public/residences/[id]/availability/route.ts","residences","Route Handler"
"src/app/api/v1/public/residences/[id]/quote/route.ts","residences","Route Handler"
"src/app/api/v1/public/residences/[id]/route.ts","residences","Route Handler"
"src/app/api/v1/public/residences/search/route.ts","residences","Route Handler"
"src/app/api/v1/public/restaurants/[slug]/menu/route.ts","menu","Route Handler"
"src/app/api/v1/public/restaurants/[slug]/route.ts","restaurants","Route Handler"
"src/app/api/v1/public/restaurants/search/route.ts","restaurants","Route Handler"
"src/app/api/v1/push/expo/register/route.ts","notifications","Route Handler"
"src/app/api/v1/restaurateur/commandes/[id]/livraison/assignation/route.ts","deliveries","Route Handler"
"src/app/api/v1/restaurateur/commandes/[id]/route.ts","orders","Route Handler"
"src/app/api/v1/restaurateur/commandes/[id]/statut/route.ts","orders","Route Handler"
"src/app/api/v1/restaurateur/commandes/route.ts","orders","Route Handler"
"src/app/api/v1/restaurateur/livreurs/[id]/acces/route.ts","deliveries","Route Handler"
"src/app/api/v1/restaurateur/livreurs/[id]/desactivation/route.ts","deliveries","Route Handler"
"src/app/api/v1/restaurateur/livreurs/[id]/remises-especes/route.ts","deliveries","Route Handler"
"src/app/api/v1/restaurateur/livreurs/[id]/remunerations/route.ts","deliveries","Route Handler"
"src/app/api/v1/restaurateur/livreurs/[id]/route.ts","deliveries","Route Handler"
"src/app/api/v1/restaurateur/livreurs/route.ts","deliveries","Route Handler"
"src/app/api/v1/restaurateur/plats/route.ts","menu","Route Handler"
"src/app/api/v1/restaurateur/stats/route.ts","orders / restaurants","Route Handler"
"src/app/api/webhooks/paystack/route.ts","transactions","Route Handler"
"src/app/layout.tsx","présentation / plateforme","surface App Router"
"src/app/livreur/page.tsx","deliveries","surface App Router"
"src/app/not-found.tsx","présentation / plateforme","surface App Router"
"src/app/onboarding/actions.ts","partners","Server Actions / actions legacy"
"src/app/onboarding/ActivityChoice.tsx","partners","support / autre"
"src/app/onboarding/OnboardingClient.tsx","partners","support / autre"
"src/app/onboarding/page.tsx","partners","surface App Router"
"src/app/page.tsx","présentation / plateforme","surface App Router"
"src/app/robots.ts","présentation / plateforme","support / autre"
"src/app/sitemap.ts","présentation / plateforme","support / autre"
"src/components/admin/abonnements/abonnes-table.tsx","subscriptions / quotas","présentation"
"src/components/admin/abonnements/catalogue-editor.tsx","subscriptions / quotas","présentation"
"src/components/admin/abonnements/catalogue-history.tsx","subscriptions / quotas","présentation"
"src/components/admin/abonnements/catalogue-plan-editor.tsx","subscriptions / quotas","présentation"
"src/components/admin/abonnements/catalogue-policy-editor.tsx","subscriptions / quotas","présentation"
"src/components/admin/abonnements/discovery-performance.tsx","subscriptions / quotas","présentation"
"src/components/admin/abonnements/subscription-history-table.tsx","subscriptions / quotas","présentation"
"src/components/admin/admin-accounts-manager.tsx","admin-accounts","présentation"
"src/components/admin/admin-navbar.tsx","shared/ui admin","présentation"
"src/components/admin/admin-sidebar.tsx","shared/ui admin","présentation"
"src/components/admin/admin-subscription-requests-table.tsx","subscriptions / quotas","présentation"
"src/components/admin/audit-admin-filters.tsx","audit","présentation"
"src/components/admin/audit-admin-table.tsx","audit","présentation"
"src/components/admin/commande-items-admin-table.tsx","orders","présentation"
"src/components/admin/commandes-admin-filters.tsx","orders","présentation"
"src/components/admin/commandes-admin-table.tsx","orders","présentation"
"src/components/admin/commission-payment-button.tsx","commissions","présentation"
"src/components/admin/commission-policy-form.tsx","commissions","présentation"
"src/components/admin/commissions-admin-filters.tsx","commissions","présentation"
"src/components/admin/commissions-admin-tables.tsx","commissions","présentation"
"src/components/admin/identity-review-panel.tsx","identity","présentation"
"src/components/admin/paystack-provider-account-card.tsx","transactions","présentation"
"src/components/admin/residence-review-panel.tsx","residences","présentation"
"src/components/admin/restaurant-detail-admin.tsx","restaurants","présentation"
"src/components/admin/restaurants-admin-table.tsx","restaurants","présentation"
"src/components/admin/service-market-admin.tsx","service-markets","présentation"
"src/components/admin/service-market-boundary-map.tsx","service-markets","présentation"
"src/components/admin/ui/admin-page.tsx","shared/ui admin","présentation"
"src/components/admin/ui/empty-state.tsx","shared/ui admin","présentation"
"src/components/admin/ui/page-header.tsx","shared/ui admin","présentation"
"src/components/admin/ui/stat-card.tsx","shared/ui admin","présentation"
"src/components/admin/ui/status-badge.tsx","shared/ui admin","présentation"
"src/components/admin/users-admin-table.tsx","admin-accounts","présentation"
"src/components/auth/auth-layout.tsx","auth / partners / clients / deliveries","présentation"
"src/components/auth/login-visual-panel.tsx","auth / partners / clients / deliveries","présentation"
"src/components/auth/restaurateur-login-form.tsx","auth / partners / clients / deliveries","présentation"
"src/components/auth/restaurateur-register-form.tsx","auth / partners / clients / deliveries","présentation"
"src/components/client-app/adresse-livraison-picker.tsx","deliveries","présentation"
"src/components/client-app/client-auth-shell.tsx","clients","présentation"
"src/components/client-app/client-delivery-panel.tsx","deliveries","présentation"
"src/components/client-app/client-login-form.tsx","clients","présentation"
"src/components/client-app/client-register-form.tsx","clients","présentation"
"src/components/client-app/client-top-bar.tsx","clients","présentation"
"src/components/client-app/panier-flottant.tsx","orders","présentation"
"src/components/client-app/restaurant-bottom-sheet.tsx","restaurants","présentation"
"src/components/client-app/restaurant-map.tsx","restaurants","présentation"
"src/components/dashboard/commandes/client-info.tsx","orders","présentation"
"src/components/dashboard/commandes/commande-details-page-client.tsx","orders","présentation"
"src/components/dashboard/commandes/commandes-page-client.tsx","orders","présentation"
"src/components/dashboard/commandes/delivery-map.tsx","deliveries","présentation"
"src/components/dashboard/commandes/driver-info.tsx","orders","présentation"
"src/components/dashboard/commandes/footer.tsx","orders","présentation"
"src/components/dashboard/commandes/map-commande-to-details.ts","orders","présentation"
"src/components/dashboard/commandes/map-commande-to-order.ts","orders","présentation"
"src/components/dashboard/commandes/order-card.tsx","orders","présentation"
"src/components/dashboard/commandes/order-details-header.tsx","orders","présentation"
"src/components/dashboard/commandes/order-filters.tsx","orders","présentation"
"src/components/dashboard/commandes/order-items-table.tsx","orders","présentation"
"src/components/dashboard/commandes/order-status-control.tsx","orders","présentation"
"src/components/dashboard/commandes/order-tracking.tsx","orders","présentation"
"src/components/dashboard/commandes/receipt-print-content.tsx","orders","présentation"
"src/components/dashboard/commandes/skeletons.tsx","orders","présentation"
"src/components/dashboard/layout/dashboard-realtime-provider.tsx","shared/ui dashboard","présentation"
"src/components/dashboard/layout/footer.tsx","shared/ui dashboard","présentation"
"src/components/dashboard/layout/header.tsx","shared/ui dashboard","présentation"
"src/components/dashboard/layout/navbar.tsx","shared/ui dashboard","présentation"
"src/components/dashboard/layout/sidebar.tsx","shared/ui dashboard","présentation"
"src/components/dashboard/livreurs/fleet-page-client.tsx","deliveries","présentation"
"src/components/dashboard/menu/category-organizer-dialog.tsx","menu","présentation"
"src/components/dashboard/menu/delete-plat-dialog.tsx","menu","présentation"
"src/components/dashboard/menu/menu-card.tsx","menu","présentation"
"src/components/dashboard/menu/menu-filters.tsx","menu","présentation"
"src/components/dashboard/menu/menu-form-new.tsx","menu","présentation"
"src/components/dashboard/menu/menu-info-panel.tsx","menu","présentation"
"src/components/dashboard/menu/menu-manager.tsx","menu","présentation"
"src/components/dashboard/menu/plat-edit-dialog.tsx","menu","présentation"
"src/components/dashboard/menu/plat-stats-panel.tsx","menu","présentation"
"src/components/dashboard/menu/similar-dishes.tsx","menu","présentation"
"src/components/dashboard/menu/skeletons.tsx","menu","présentation"
"src/components/dashboard/menu/wizard/StepApercu.tsx","menu","présentation"
"src/components/dashboard/menu/wizard/StepCategorie.tsx","menu","présentation"
"src/components/dashboard/menu/wizard/StepInfo.tsx","menu","présentation"
"src/components/dashboard/menu/wizard/types.ts","menu","présentation"
"src/components/dashboard/notifications-client.tsx","notifications","présentation"
"src/components/dashboard/notifications/notifications-provider.tsx","notifications","présentation"
"src/components/dashboard/pagination.tsx","shared/ui pagination","présentation"
"src/components/dashboard/profil/formulaire-profil.tsx","clients","présentation"
"src/components/dashboard/profil/opening-hours-manager.tsx","clients","présentation"
"src/components/dashboard/profil/restaurant-location-picker.tsx","restaurants","présentation"
"src/components/dashboard/restaurant-validation-status.tsx","restaurants","présentation"
"src/components/dashboard/stats/chart-layout.ts","orders / analytics","présentation"
"src/components/dashboard/stats/dashboard-data.ts","orders / analytics","présentation"
"src/components/dashboard/stats/dashboard-secondary-sections.tsx","orders / analytics","présentation"
"src/components/dashboard/stats/order-types.tsx","orders / analytics","présentation"
"src/components/dashboard/stats/orders-overview.tsx","orders / analytics","présentation"
"src/components/dashboard/stats/recent-activity.tsx","orders / analytics","présentation"
"src/components/dashboard/stats/recent-orders-section.tsx","orders / analytics","présentation"
"src/components/dashboard/stats/recent-orders.tsx","orders / analytics","présentation"
"src/components/dashboard/stats/revenue-chart.tsx","orders / analytics","présentation"
"src/components/dashboard/stats/revenue-section.tsx","orders / analytics","présentation"
"src/components/dashboard/stats/skeletons.tsx","orders / analytics","présentation"
"src/components/dashboard/stats/stats-cards.tsx","orders / analytics","présentation"
"src/components/dashboard/stats/stats-section.tsx","orders / analytics","présentation"
"src/components/dashboard/stats/stats-shell.tsx","orders / analytics","présentation"
"src/components/dashboard/stats/top-categories.tsx","orders / analytics","présentation"
"src/components/dashboard/stats/trending-menus.tsx","orders / analytics","présentation"
"src/components/dashboard/stats/trending-section.tsx","orders / analytics","présentation"
"src/components/driver-app/driver-app.tsx","deliveries","présentation"
"src/components/identity/identity-verification-form.tsx","identity","présentation"
"src/components/kokonutui/team-selector.tsx","residences (composant à remplacer)","présentation"
"src/components/landing/components/AboutPlatform.tsx","presentation transverse / domaine de la route","présentation"
"src/components/landing/components/animated-glassy-pricing.tsx","presentation transverse / domaine de la route","présentation"
"src/components/landing/components/BackgroundDecoration.tsx","presentation transverse / domaine de la route","présentation"
"src/components/landing/components/Benefits.tsx","presentation transverse / domaine de la route","présentation"
"src/components/landing/components/BlurText.tsx","presentation transverse / domaine de la route","présentation"
"src/components/landing/components/ClickSpark.tsx","presentation transverse / domaine de la route","présentation"
"src/components/landing/components/CTA.tsx","presentation transverse / domaine de la route","présentation"
"src/components/landing/components/CurvedLoop.tsx","presentation transverse / domaine de la route","présentation"
"src/components/landing/components/DashboardShowcase.tsx","presentation transverse / domaine de la route","présentation"
"src/components/landing/components/FeatureGrid.tsx","presentation transverse / domaine de la route","présentation"
"src/components/landing/components/Footer.tsx","presentation transverse / domaine de la route","présentation"
"src/components/landing/components/Hero.tsx","presentation transverse / domaine de la route","présentation"
"src/components/landing/components/InteractiveDashboard.tsx","presentation transverse / domaine de la route","présentation"
"src/components/landing/components/LogoLoop.tsx","presentation transverse / domaine de la route","présentation"
"src/components/landing/components/Magnet.tsx","presentation transverse / domaine de la route","présentation"
"src/components/landing/components/Navbar.tsx","presentation transverse / domaine de la route","présentation"
"src/components/landing/components/PixelCard.tsx","presentation transverse / domaine de la route","présentation"
"src/components/landing/components/Pricing.tsx","presentation transverse / domaine de la route","présentation"
"src/components/landing/components/ScrollStack.tsx","presentation transverse / domaine de la route","présentation"
"src/components/landing/components/ShapeGrid.tsx","presentation transverse / domaine de la route","présentation"
"src/components/landing/components/StaggeredMenu.tsx","presentation transverse / domaine de la route","présentation"
"src/components/landing/components/Testimonials.tsx","presentation transverse / domaine de la route","présentation"
"src/components/landing/components/TrustedBy.tsx","presentation transverse / domaine de la route","présentation"
"src/components/landing/components/VariableProximity.tsx","presentation transverse / domaine de la route","présentation"
"src/components/landing/data.test.ts","presentation transverse / domaine de la route","présentation"
"src/components/landing/data.ts","presentation transverse / domaine de la route","présentation"
"src/components/landing/ui/Beams.tsx","presentation transverse / domaine de la route","présentation"
"src/components/landing/ui/demo.tsx","presentation transverse / domaine de la route","présentation"
"src/components/landing/ui/hover-footer.tsx","presentation transverse / domaine de la route","présentation"
"src/components/landing/ui/multi-type-ripple-buttons.tsx","presentation transverse / domaine de la route","présentation"
"src/components/legal/legal-page.tsx","presentation transverse / domaine de la route","présentation"
"src/components/motion/animated-badge.tsx","shared","présentation"
"src/components/motion/animated-number.tsx","shared","présentation"
"src/components/motion/availability-scheduler/copy-menu.tsx","menu","présentation"
"src/components/motion/availability-scheduler/day-row.tsx","shared","présentation"
"src/components/motion/availability-scheduler/icon-button.tsx","shared","présentation"
"src/components/motion/availability-scheduler/index.tsx","shared","présentation"
"src/components/motion/availability-scheduler/time-select.tsx","shared","présentation"
"src/components/motion/availability-scheduler/types.ts","shared","présentation"
"src/components/motion/center-morph-modal.tsx","shared","présentation"
"src/components/motion/checkbox.tsx","shared","présentation"
"src/components/motion/drawer.tsx","shared","présentation"
"src/components/motion/input.tsx","shared","présentation"
"src/components/motion/loader.tsx","shared","présentation"
"src/components/motion/popover-morph.tsx","shared","présentation"
"src/components/motion/range-slider.tsx","shared","présentation"
"src/components/motion/select.tsx","shared","présentation"
"src/components/motion/stateful-button.tsx","shared","présentation"
"src/components/motion/switch.tsx","shared","présentation"
"src/components/motion/table/editable-cell.tsx","shared","présentation"
"src/components/motion/table/index.tsx","shared","présentation"
"src/components/motion/table/row-handle.tsx","shared","présentation"
"src/components/motion/table/skeleton-rows.tsx","shared","présentation"
"src/components/motion/table/table-header.tsx","shared","présentation"
"src/components/motion/table/table-menu.tsx","menu","présentation"
"src/components/motion/table/types.ts","shared","présentation"
"src/components/motion/table/use-column-reorder.ts","orders","présentation"
"src/components/motion/table/use-column-resize.ts","shared","présentation"
"src/components/motion/table/use-column-sort.ts","shared","présentation"
"src/components/motion/table/use-row-selection.ts","shared","présentation"
"src/components/motion/table/utils.ts","shared","présentation"
"src/components/motion/tabs.tsx","shared","présentation"
"src/components/motion/text-reveal.tsx","shared","présentation"
"src/components/motion/tooltip.tsx","shared","présentation"
"src/components/offline-provider.tsx","shared / infrastructure UI","présentation"
"src/components/offline-screen.tsx","shared / infrastructure UI","présentation"
"src/components/onboarding/DashboardView.tsx","partners","présentation"
"src/components/onboarding/InteractiveMap.tsx","partners","présentation"
"src/components/onboarding/Sidebar.tsx","partners","présentation"
"src/components/onboarding/StepAddress.tsx","partners","présentation"
"src/components/onboarding/StepGeneral.tsx","partners","présentation"
"src/components/onboarding/StepMenu.tsx","partners","présentation"
"src/components/onboarding/StepOverview.tsx","partners","présentation"
"src/components/onboarding/StepSchedule.tsx","partners","présentation"
