"file","owner","exports"
"src/app/api/v1/client/auth/login/route.ts","clients","POST"
"src/app/api/v1/client/auth/logout/route.ts","clients","POST"
"src/app/api/v1/client/auth/me/route.ts","clients","GET ; PATCH"
"src/app/api/v1/client/auth/refresh/route.ts","clients","POST"
"src/app/api/v1/client/auth/register/route.ts","clients","POST"
"src/app/api/v1/client/commandes/[id]/livraison/confirmation/route.ts","deliveries","POST"
"src/app/api/v1/client/commandes/[id]/livraison/route.ts","deliveries","GET"
"src/app/api/v1/client/commandes/[id]/paiement/route.ts","orders","POST"
"src/app/api/v1/client/commandes/[id]/route.ts","orders","GET ; PATCH"
"src/app/api/v1/client/commandes/[id]/stream/route.ts","orders","GET ; dynamic ; maxDuration"
"src/app/api/v1/client/commandes/prevalidate/route.ts","orders","POST"
"src/app/api/v1/client/commandes/route.ts","orders","GET ; POST"
"src/app/api/v1/client/geo/geocode/route.ts","service-markets","GET"
"src/app/api/v1/client/location/resolve/route.ts","clients","POST"
"src/app/api/v1/client/notifications/route.ts","notifications","GET ; PATCH"
"src/app/api/v1/client/push/expo/route.ts","notifications","DELETE ; POST"
"src/app/api/v1/client/reservations/[id]/cancel/route.ts","residences","POST"
"src/app/api/v1/client/reservations/[id]/payment/route.ts","residences","POST"
"src/app/api/v1/client/reservations/[id]/route.ts","residences","GET"
"src/app/api/v1/client/reservations/route.ts","residences","GET ; POST"
"src/app/api/v1/client/restaurants/[slug]/menu/route.ts","menu",""
"src/app/api/v1/client/restaurants/[slug]/route.ts","restaurants","GET"
"src/app/api/v1/client/restaurants/route.ts","restaurants","GET"
"src/app/api/v1/client/restaurants/search/route.ts","restaurants","POST"
"src/app/api/v1/livreur/auth/activation/route.ts","deliveries","POST"
"src/app/api/v1/livreur/auth/login/route.ts","deliveries","POST"
"src/app/api/v1/livreur/auth/logout/route.ts","deliveries","POST"
"src/app/api/v1/livreur/auth/refresh/route.ts","deliveries","POST"
"src/app/api/v1/livreur/disponibilite/route.ts","deliveries","PATCH"
"src/app/api/v1/livreur/livraisons/[id]/depart/route.ts","deliveries","POST"
"src/app/api/v1/livreur/livraisons/[id]/echec/route.ts","deliveries","POST"
"src/app/api/v1/livreur/livraisons/[id]/remise/route.ts","deliveries","POST"
"src/app/api/v1/livreur/livraisons/[id]/route.ts","deliveries","GET"
"src/app/api/v1/livreur/livraisons/route.ts","deliveries","GET"
"src/app/api/v1/livreur/me/route.ts","deliveries","GET"
"src/app/api/v1/livreur/notifications/route.ts","deliveries","GET ; PATCH"
"src/app/api/v1/livreur/offres/[id]/reponse/route.ts","deliveries","POST"
"src/app/api/v1/livreur/offres/courante/route.ts","deliveries","GET"
"src/app/api/v1/livreur/push/expo/route.ts","deliveries","DELETE ; POST"
"src/app/api/v1/openapi.json/route.ts","infrastructure API","GET"
"src/app/api/v1/public/discovery/events/route.ts","discovery","POST"
"src/app/api/v1/public/discovery/open/route.ts","discovery","GET"
"src/app/api/v1/public/residences/[id]/availability/route.ts","residences","GET"
"src/app/api/v1/public/residences/[id]/quote/route.ts","residences","POST"
"src/app/api/v1/public/residences/[id]/route.ts","residences","GET"
"src/app/api/v1/public/residences/search/route.ts","residences","POST"
"src/app/api/v1/public/restaurants/[slug]/menu/route.ts","menu","GET"
"src/app/api/v1/public/restaurants/[slug]/route.ts","restaurants","GET"
"src/app/api/v1/public/restaurants/search/route.ts","restaurants","POST"
"src/app/api/v1/push/expo/register/route.ts","notifications","POST"
"src/app/api/v1/restaurateur/commandes/[id]/livraison/assignation/route.ts","deliveries","DELETE ; GET ; PUT"
"src/app/api/v1/restaurateur/commandes/[id]/route.ts","orders","GET ; PATCH"
"src/app/api/v1/restaurateur/commandes/[id]/statut/route.ts","orders","PATCH"
"src/app/api/v1/restaurateur/commandes/route.ts","orders","GET"
"src/app/api/v1/restaurateur/livreurs/[id]/acces/route.ts","deliveries","POST"
"src/app/api/v1/restaurateur/livreurs/[id]/desactivation/route.ts","deliveries","POST"
"src/app/api/v1/restaurateur/livreurs/[id]/remises-especes/route.ts","deliveries","POST"
"src/app/api/v1/restaurateur/livreurs/[id]/remunerations/route.ts","deliveries","POST"
"src/app/api/v1/restaurateur/livreurs/[id]/route.ts","deliveries","GET ; PATCH"
"src/app/api/v1/restaurateur/livreurs/route.ts","deliveries","GET ; POST"
"src/app/api/v1/restaurateur/plats/route.ts","menu","GET ; POST"
"src/app/api/v1/restaurateur/stats/route.ts","orders / restaurants","GET"
"src/app/api/webhooks/paystack/route.ts","transactions","POST ; runtime"
"src/app/onboarding/actions.ts","partners","chooseActivityAction"
"src/lib/actions/admin-commissions.ts","commissions","createManualCommissionSettlementAction ; updateCommissionPolicyAction"
"src/lib/actions/admin-provider-accounts.ts","transactions","associatePaystackSubaccountAction ; disablePaystackSubaccountAction"
"src/lib/actions/admin-restaurants.ts","restaurants","reactiverRestaurantAction ; rejeterRestaurantAction ; suspendreRestaurantAction ; validerRestaurantAction"
"src/lib/actions/admin-service-markets.ts","service-markets","createServiceMarketAction ; createServiceMarketVersionAction ; publishServiceMarketVersionAction ; setServiceMarketCapabilityAction"
"src/lib/actions/admin-subscriptions.ts","subscriptions / quotas","publishSubscriptionCatalogueDraftAction ; reactiverAbonnementAction ; rejectSubscriptionRequest ; restoreSubscriptionCatalogueRevisionToDraftAction ; saveSubscriptionCatalogueDraftAction ; suspendreAbonnementAction ; updateSubscriptionPlan ; validateSubscriptionRequest"
"src/lib/actions/admin-users.ts","admin-accounts","reactiverClientAction ; reactiverUserAction ; suspendreClientAction ; suspendreUserAction"
"src/lib/actions/commandes.ts","orders","assignCommandeDriver ; updateCommandeStatus ; updateDeliveryStatus"
"src/lib/actions/menu.ts","menu","createMenuCategoryAction ; createPlatAction ; createPlatWizardAction ; deletePlatAction ; renameMenuCategoryAction ; setCategoryPublicationAction ; setDishPublicationAction ; toggleDisponibilitePlatAction ; updatePlatAction"
"src/lib/actions/onboarding.ts","partners","finaliserOnboarding"
"src/lib/actions/partner-payments.ts","partners","payCommissionDebtAction"
"src/lib/actions/partner-subscriptions.ts","subscriptions / quotas","createSubscriptionRequestAction ; resumeSubscriptionPaymentAction"
"src/lib/actions/restaurant.ts","restaurants","deleteOpeningHoursAction ; geocodeRestaurantAddressAction ; resoumettreRestaurantAction ; saveOpeningHoursAction ; setRestaurantOnlineAction ; setRestaurantOrderAcceptanceAction ; toggleOpeningHoursAction ; updateRestaurantAction"
"src/modules/admin-accounts/server.ts","admin-accounts","confirmAdminPassword ; createAdminAccount ; listAdminAccounts ; reactivateAdminAccount ; resetAdminPassword ; suspendAdminAccount"
"src/modules/commissions/server.ts","commissions","createResidenceCommissionInTransaction ; voidPendingResidenceCommissionInTransaction"
"src/modules/deliveries/server.ts","deliveries","activateDriverCredentials ; authenticateDriver ; cancelRestaurantDeliveryOrder ; completeDriverDelivery ; confirmClientDelivery ; confirmDriverCashRemittance ; confirmDriverCompensationPayment ; createRestaurantDriver ; deactivateRestaurantDriver ; failDriverDelivery ; getClientDelivery ; getDriverDelivery ; getDriverMe ; getPendingDriverOffer ; getRestaurantDelivery ; listDriverDeliveries ; listRestaurantDrivers ; proposeDeliveryDriver ; refreshDriverSession ; resetDriverCredentials ; resolveDriverSession ; respondToDeliveryOffer ; revokeDriverSession ; setDriverAvailability ; startDriverDelivery ; unassignDeliveryDriver ; updateRestaurantDriver"
"src/modules/discovery/server.ts","discovery","getDiscoveryRankingConfiguration"
"src/modules/identity/server.ts","identity","assertPartnerIdentityVerified ; ensurePartnerIdentityDocumentScansQueued ; getAdminIdentityVerification ; getPartnerIdentityVerification ; listIdentityVerifications ; processIdentityDocumentScan ; readAdminIdentityDocument ; readPartnerIdentityDocument ; rejectPartnerIdentity ; savePartnerIdentityDraft ; submitPartnerIdentityVerification ; uploadPartnerIdentityDocument ; verifyPartnerIdentity"
"src/modules/notifications/server.ts","notifications","listClientNotifications ; listDriverNotifications ; markClientNotificationsRead ; markDriverNotificationsRead ; registerClientExpoSubscription ; registerDriverExpoSubscription ; unregisterClientExpoSubscription ; unregisterDriverExpoSubscription"
"src/modules/orders/server.ts","orders","cancelDeliveryOrderInTransaction ; completeDeliveryOrderInTransaction ; createRestaurantOrder ; prevalidateRestaurantOrder ; scheduleCancelledDeliveryOrderEffects ; scheduleCompletedDeliveryOrderEffects"
"src/modules/partners/server.ts","partners","choosePartnerActivity ; getPartnerAccountByUserId"
"src/modules/quotas/server.ts","quotas","getEffectiveResidenceQuota ; getResidenceQuotaEligibility"
"src/modules/residences/server.ts","residences","approveResidence ; cancelClientResidenceReservation ; cancelPartnerResidenceReservation ; createResidence ; createResidenceReservation ; createResidenceUnavailablePeriod ; deleteResidenceUnavailablePeriod ; getAdminResidence ; getAdminResidenceWithPublication ; getClientResidenceReservation ; getPartnerResidence ; getPartnerResidenceAvailability ; getPublicResidenceAvailability ; getPublicResidenceBySlug ; getResidenceStayQuote ; listAdminResidences ; listClientResidenceReservations ; listPartnerResidenceReservations ; listPartnerResidenceUnavailablePeriods ; listPartnerResidences ; listPartnerResidencesWithPublication ; listPublicResidences ; publishResidence ; reactivateResidence ; rejectResidence ; retryClientResidencePayment ; searchPublicResidences ; suspendResidence ; updatePartnerResidenceReservation ; updateResidence ; withdrawResidence"
"src/modules/restaurants/server.ts","restaurants","changeRestaurantLocation ; getRestaurantAccessByPartnerAccountId ; resolveRestaurantMarketAssignment ; searchRestaurantsInCurrentMarket"
"src/modules/service-markets/server.ts","service-markets","createServiceMarket ; createServiceMarketVersion ; getServiceMarketCapabilities ; getServiceMarketCapability ; listGeoSourceAreas ; listServiceMarketVersionFeatures ; listServiceMarkets ; publishServiceMarketVersion ; requireActiveServiceMarketCapability ; resolvePublishedServiceMarketAtPoint ; resolveServiceMarketAtCoordinates ; resolveServiceMarketAtPoint ; setServiceMarketCapability"
"src/modules/subscriptions/server.ts","subscriptions","activatePaidSubscriptionInTransaction ; createPartnerSubscriptionRequest ; getAdminSubscriptionCatalogueWorkspace ; getEffectiveSubscriptionContext ; getPublishedSubscriptionCatalogue ; getResidenceSubscriptionBilling ; publishSubscriptionCatalogueDraft ; restoreSubscriptionCatalogueRevisionToDraft ; saveSubscriptionCatalogueDraft ; updateSubscriptionCatalogue ; validateOfflineSubscriptionRequest"
"src/modules/transactions/server.ts","transactions","cancelRestaurantOrderTransactionInTransaction ; cancelTransaction ; cancelTransactionInTransaction ; confirmPayment ; confirmPaymentInTransaction ; confirmRestaurantOrderCashInTransaction ; createPaymentAttempt ; createPaymentAttemptInTransaction ; createTransaction ; createTransactionInTransaction ; failPayment ; failPaymentInTransaction ; getActivePaystackProviderAccount ; getResidenceReservationTransactionInTransaction ; getRestaurantOrderPaymentSummaryInTransaction ; getSubscriptionTransactionInTransaction ; getTransaction ; hasActivePaystackProviderAccount ; recordConfirmedOfflinePaymentInTransaction"
