"route","file","owner","kind","components","siblingLoading","siblingError"
"/restaurateur/commandes/[id]","src/app/(dashboard)/restaurateur/commandes/[id]/page.tsx","orders","page","@/components/dashboard/commandes/commande-details-page-client ; @/components/dashboard/commandes/map-commande-to-details ; @/components/dashboard/commandes/map-commande-to-details","false","false"
"/restaurateur/commandes","src/app/(dashboard)/restaurateur/commandes/error.tsx","orders","error","@/components/ui/alert ; @/components/ui/button ; @/components/ui/card","true","true"
"/restaurateur/commandes","src/app/(dashboard)/restaurateur/commandes/loading.tsx","orders","loading","@/components/dashboard/commandes/skeletons","true","true"
"/restaurateur/commandes","src/app/(dashboard)/restaurateur/commandes/page.tsx","orders","page","@/components/dashboard/commandes/commandes-page-client","true","true"
"/restaurateur/facturation","src/app/(dashboard)/restaurateur/facturation/page.tsx","subscriptions / quotas","page","@/components/dashboard/restaurant-validation-status ; @/components/restaurateur/pay-commission-debt ; @/components/restaurateur/restaurateur-subscription-button ; @/components/restaurateur/resume-subscription-payment ; @/components/ui/badge ; @/components/ui/card","false","false"
"/restaurateur","src/app/(dashboard)/restaurateur/layout.tsx","restaurants","layout","@/components/dashboard/layout/dashboard-realtime-provider ; @/components/dashboard/layout/footer ; @/components/dashboard/layout/navbar ; @/components/dashboard/layout/sidebar ; @/components/dashboard/notifications/notifications-provider","true","false"
"/restaurateur/livreurs","src/app/(dashboard)/restaurateur/livreurs/page.tsx","deliveries","page","@/components/dashboard/livreurs/fleet-page-client","false","false"
"/restaurateur","src/app/(dashboard)/restaurateur/loading.tsx","restaurants","loading","@/components/dashboard/stats/skeletons","true","false"
"/restaurateur/menu/[id]","src/app/(dashboard)/restaurateur/menu/[id]/page.tsx","menu","page","","false","false"
"/restaurateur/menu","src/app/(dashboard)/restaurateur/menu/loading.tsx","menu","loading","@/components/dashboard/menu/skeletons","true","false"
"/restaurateur/menu/new","src/app/(dashboard)/restaurateur/menu/new/page.tsx","menu","page","@/components/dashboard/menu/menu-form-new","false","false"
"/restaurateur/menu","src/app/(dashboard)/restaurateur/menu/page.tsx","menu","page","@/components/dashboard/menu/menu-manager","true","false"
"/restaurateur/notifications","src/app/(dashboard)/restaurateur/notifications/page.tsx","notifications","page","@/components/dashboard/notifications-client","false","false"
"/restaurateur","src/app/(dashboard)/restaurateur/page.tsx","restaurants","page","@/components/dashboard/restaurant-validation-status ; @/components/dashboard/stats/dashboard-secondary-sections ; @/components/dashboard/stats/recent-orders-section ; @/components/dashboard/stats/revenue-section ; @/components/dashboard/stats/skeletons ; @/components/dashboard/stats/stats-section ; @/components/dashboard/stats/stats-shell ; @/components/dashboard/stats/trending-section","true","false"
"/restaurateur/profil","src/app/(dashboard)/restaurateur/profil/page.tsx","clients","page","@/components/dashboard/profil/formulaire-profil ; @/components/dashboard/profil/opening-hours-manager","false","false"
"/conditions-generales","src/app/(public)/conditions-generales/page.tsx","presentation transverse / domaine de la route","page","@/components/legal/legal-page","false","false"
"/confidentialite","src/app/(public)/confidentialite/page.tsx","presentation transverse / domaine de la route","page","@/components/legal/legal-page","false","false"
"/cookies","src/app/(public)/cookies/page.tsx","presentation transverse / domaine de la route","page","@/components/legal/legal-page","false","false"
"/mentions-legales","src/app/(public)/mentions-legales/page.tsx","presentation transverse / domaine de la route","page","@/components/legal/legal-page","false","false"
"/residences/[slug]","src/app/(public)/residences/[slug]/page.tsx","residences","page","@/components/residences/public-residence-header ; @/components/residences/residence-booking-card ; @/components/ui/button","false","false"
"/residences","src/app/(public)/residences/page.tsx","residences","page","@/components/residences/public-residence-card ; @/components/residences/public-residence-header ; @/components/residences/public-residence-search ; @/components/ui/button","false","false"
"/restaurant/[slug]","src/app/(public)/restaurant/[slug]/error.tsx","restaurants","error","@/components/ui/alert ; @/components/ui/button","true","true"
"/restaurant/[slug]","src/app/(public)/restaurant/[slug]/loading.tsx","restaurants","loading","@/components/ui/skeleton","true","true"
"/restaurant/[slug]","src/app/(public)/restaurant/[slug]/page.tsx","restaurants","page","@/components/public-page/main","true","true"
"/","src/app/layout.tsx","présentation / plateforme","layout","@/components/Providers ; @/components/ui/sonner","false","false"
"/livreur","src/app/livreur/page.tsx","deliveries","page","@/components/driver-app/driver-app","false","false"
"/","src/app/not-found.tsx","présentation / plateforme","not-found","","false","false"
"/onboarding","src/app/onboarding/page.tsx","partners","page","","false","false"
"/","src/app/page.tsx","présentation / plateforme","page","@/components/landing/components/AboutPlatform ; @/components/landing/components/Hero ; @/components/landing/components/Navbar ; @/components/landing/components/Pricing ; @/components/landing/ui/demo","false","false"
